Company Name,Profile Heading,About Company,Email,Phone,Toll Free Number,Main Address,Address Pin Code,Address URL,Company Registration Number
Xiaomi,Xiaomi,"Smart phones, tv & accessories, tablet, laptop, notebook, powerbank & chargers",,,,"Devarabisanahalli, Bengaluru",560103,www.mi.com,
Google,Google,"Smart phones, web cam, audio & speakers, case, cam charge cable ",,,,"Kothaguda, Telangana, Hyderabad",500084,www.store.google.com,
Vivo,Vivo,Smart phones,,,18002083388,"Delta Tower, Sector 44, Gurgaon ",122003,www.vivo.com,
One Plus,One Plus,"Smart phones, tvs, ear buds, wireless ear phones, wired ear phones, smart watch, tablet, case protection, adapter, charger, c type cables, wireless charger",oplusfinance.india@oneplus.com,,18001028411,"Ashok Nagar, Bengaluru",560001,www.oneplus.in115,
Redmi,Redmi,"Smart phones, tv & accessories, tablet, laptop, notebook, powerbank & chargers, selfie stick,  audio & speakers, earbuds, smart watch",,,,"Devarabisanahalli, Bengaluru",560103,www.mi.com,
Alcatel,Alcatel,"Smart phones, tablets, mobile broadband, wireless earphones",,,,"Plot No. 25, Electronic City, Sector 18, Gurgaon",122015,www.alcatelmobile.com,
Infinix,Infinix,"Smart phones, wireless ear phones, adapter, laptops, tvs",hello@infinixmobility.com,,,"Marg Prabhadevi, Mumbai ",400025,www.infinixmobility.com,
Acer,Acer,"Smart phones, laptops, desktops,  tablets, monitors, projectors, gaming controller",,8039408700,," Magrath Road, Bangalore ",560025,www.acer.com,
Asus,Asus,"Smart phones, laptops, desktops, workstations, projectors, mini pcs, monitors, motherboard, gaming case, wifi routers, wireless & wired adapters, headsets ",,,,"Andheri (West), Mumbai ",400053,www.asus.com,
Blackberry,Blackberry,"Smart phones, cybersecurity, adapter, case, automotive",legalcorporate@blackberry.com,,,"C-2, District Centre, Saket New Delhi ",110017,www.blackberry.com,
Croma,Croma,"Smart phones, mobile accessories, mobile cases, wire & wireless ear phones, usb cables, mobile chargers, screen protectors, power banks, tripods, selfie sticks, mobile stands & holders",customersupport@croma.com,,,"Kaledonia, Sahar Road, Andheri East, Mumbai",400069,www.croma.com,
Datawind,Datawind,Smart phones,,0183-6668500,," Phoola Singh Burj, Amritsar, Punjab",143001,www.gadgets360.com,
Cherry,Cherry,"Smart phones, mobile sccessories, adapters & charges",support@cherrymobile.com.ph,0996 977-7770 ,,Andheri (West) Mumbai ,400061,www.cherrymobile.com,
Coolpad,Coolpad,Smart phones,,,,"Nerul Seawood, New Mumbai",400706,www.coolpadindia.com,
Airtel,Airtel,Mobile phones,,,,"Vasant Kunj, Phase II, New Delhi ",110070,www.airtel.in,
Black Shark,Black Shark,"Smart phones, bluetooth earphones, fun case, gamepad stand, gaming triggers, gaming case, slide out protective case, ",global.pr@blackshark.com,,," Patel Chauraha Allahabad, U.P.",211001,www.blackshark.gg,
Celkon,Celkon,"Smart phones, adapters & chargers, phone cases",,9052345678,,"
Madhapur, Hyderabad ",500033,www.celkonmobiles.com,
HP,HP,"Smart phones, laptops, desktops, monitors, printers",,,18004194962,"Electronic City Phase II, Hosur Road, Bangalore",560100,www.hp.com,
Gionee,Gionee,"Smart phones, adapters & chargers, phone cases, smart watch, wireless ear phones, power bank, wired earphones, headphones",gcare@gionee.co.in,,18602583138,"Okhla Industrial Area, Phase -1
New Delhi",110020,www.gionee.co.in,
Honor,Honor,"Smart phones, laptops, tablets, smart watch, magic book",,1244774700,,"Tech Park, Sohna Road, Sector-49, Gurgaon",122001,www.hihonor.com,
iBall,iBall,"Wired & wireless headphones, bluetooth speaker, wireless router, wireless earbuds, wireless mouse, keyboard, power bank, ",customer.care@iball.co.in,9167455100,1800-266-6409,"Andheri East, Mumbai ",400093,www.iball.co.in,
Infinix,Infinix,"Smart phones, wireless earbuds, bluetooth speaker, adapter & charger, laptops, tvs",,,,"Co - operative hsg soc Veer Savarkar, Marg Prabhadevi, Mumbai ",400025,www.infinixmobility.com,
Intex,Intex,"Led smart tv, speakers, bluetooth speakers, tower speakers, trolley speakers, smart watch, wireless & wired headphones, earphones, power banks, mobile charger, adapter, cable, wireless earbuds, car charger, LED monitor, hard drive, cabinet, keyboard, wired & wireless mouse",info@intex.in,9953030145,1204895555,"Okhla Industrial Area, Phase II, New Delhi ",110020,www.intex.in,
Itel,Itel,"Smart phones, tablet, smart tvs, wireless & wired earphones, bluetooth speakers, wireless neckband, smart watch, headphones, powerbanks, ",info.in@transsion.com,1206650888,18004190525,"Noida, Uttar Pradesh",201301,www.itel-india.com,
Jio,Jio,"Mobile phones, jio dive, wifi, smart watch, laptops, ",,2244770000,," Maker Chambers IV, 222, Nariman Point, Mumbai",400021,www.jio.com,
Karbonn,Karbonn,"Smart phones, smart LED tvs, powerbank, battery, charger & adapters",support@jainaindia.com,,,"Okhla Industrial Area, Phase-1 New Delhi",110020,www.karbonn.in,
Lava,Lava,"Smart phones, tablets, earbuds, smart bands, neckband, battery, wired & wireless headphones, charger & adapter",social@lavainternational.in,1204637100,18605005001,"A 56, Sector 64, Noida",201301,www.lavamobiles.com,
Micromax,Micromax,"Smart phones, wireless & wired earphones, bluetooth speaker, earbuds, LED tv, charger & adapter",servicehead@micromaxinfo.com,1294883999,,"Udyog Vihar , Phase V, Gurugram",122016,www.micromaxinfo.com,
Microsoft,Microsoft,"Smart phones, adapter & chargers, laptop, desktop, ",,,,"Barakhamba Road, New Delhi", 110001,www.microsoft.com,
Panasonic,Panasonic,"Smart phones, smart tvs, air conditioner, refrigerators, washing machines, vacuum cleanser, male & female grooming, ",helpline@in.panasonic.com,9311211333,18004190373,"Ambience Island, Gurgaon",122002,www.panasonic.com,
Philips,Philips,"Mobile phones, tv, monitor, projectors, home audio, tablets",,,,"DLF 9-B, , DLF Cyber City, Sector 25",122002,www.philips.co.in,
Poco,Poco,"Mobile phones, smart watch",service.in@poco.net,,18005727626,"Devarabisanahalli, Bengaluru",560103,www.po.co/global,
Reliance Digital,Reliance Digital,"Mobile phones, tablets, mobile accessories, tablet accessories, smart tvs",,,,"Dhobi Talao, Mumbai",400002,www.reliancedigital.in,
Tecno,Tecno,"Smart phones, laptops, megabook, smart watch, router, camera",service@carlcare.com,,,"Gautam Buddh Nagar, Noida, U.P.",201305,www.tecno-mobile.com,
TCL,TCL,"Tvs, theater soundbox", obgdirect.in@tcl.com,,18001020622,"Palavanthangal, Chennai, Tamil nadu,",600114,www.tcl.com,
Vaio,Vaio,"Mobile phones, adapter & charger, laptops",supportin@in.vaio.com,,1166006600,"Mathura road, New Delhi",110044,https://in.vaio.com/,
Videocon,Videocon,"Smart phone, adapter & charger, air conditioner, refrigerator, tvs, washing machines, tablets",,2266113500,,"DN Road, Fort, Mumbai",400001,www.videoconworld.com,
Vodafone,Vodafone,"Mobile phones, wifi, tvs, adapter & charger, mobile cases, screen guard",vodafonecare.mum@vodafone.com,9619215000,1800 1234567.,"
Ganpatrao Kadam Marg
Lower Parel, Mumbai",400013,www.vodafone.com,
