Company Name,Profile Heading,About Company,Email,Phone,Toll Free Number,Main Address,Address Pin Code,Address URL,Company Registration Number,Country,State,City
The Souled Store,The Souled Store,"Man & woman fashion, shoes & accessories, perfumes, movies & tv shows, kids fashion",connect@thesouledstore.com,9967670117,,"Jivraj Ramji Boricha Marg, Lower Parel East",400011,www.thesouledstore.com,,India,Maharashtra,Mumbai
Peter England,Peter England,"Mens fashion, footwear, accessories, protective gear",customerservice@madura.adityabirla.com,8067271600,18004253050,"Sane Guruji Marg, Tardeo",400034,www.peterengland.com,,India,Maharashtra,Mumbai
Big Basket,Big Basket,"Fruits & vegetables, food & beverages, eggs, fish & meat, beauty & hygiene, kitchen, garden & pets, baby care, flowers bouquets",kbandasso@gmail.com,,,"Pride Platinum, near pan card club, Baner ",411046,www.bigbasket.com,,India,Maharashtra,Pune
Fabindia,Fabindia,"Men & woman fashion, footwear, jewellery, accessories, kitchen & dining, home décor, furniture, personal care, food, kids fashion",support@fabindia.net / fabfamily@fabindia.net,8010488888,18001001212,Okhla Industrial Area,110020,www.fabindia.com,,India,Delhi,Delhi
Blinkit,Blinkit,"Vegetables & fruits, cold drinks & juice, pharma & wellness, beauty & cosmetics, cleaning essentials",info@blinkit.com,1133552400,18002088888,"Concorde Tower C, Vittal Mallya Road",560001,www.blinkit.com,,India,Karnataka,Bangalore
Pepperfry,Pepperfry,"Furniture, sofa & seating, mattresses, home décor, kitchen & dining, lamps & lighting, home utility, appliances",tellus@pepperfry.com,2261576157,,"Ambedkar Nagar, Bhandup West",400078,www.pepperfry.com,,India,Maharashtra,Mumbai
Croma,Croma ,"Tv & accessories, phones & wearables, home appliances, computer & tablets, audio & video, health & fitness, grooming & personal care, cameras & accessories, smart devices, gaming",customersupport@croma.com,,18005727662 / 04046517910,Andheri (East) ,400069,www.croma.com,,India,Maharashtra,Mumbai
Chumbak,Chumbak,"Gift store, bags & accessories, dining & kitchen, watch & jewellery, home décor, furniture, bed & furnishing",help@chumbak.in,9900017171,18004201200,Indiranagar,560038,www.chumbak.com,,India,Karnataka,Bangalore
Reliance digital,Reliance digital,"Mobile & tablets, smart watch, smarts tvs, gaming accessories, audio, home appliances, laptops, cameras, kitchen appliances, personal care, accessories",,,18001027382,"Court House, Lokmanya Tilak Marg, Dhobi Talao",400002,www.relianceretail.com,,India,Maharashtra,Mumbai
Max fashion,Max fashion,"Men & woman fashion, footwear, accessories, sportswear",help.in@maxfashion.com,8041796565,18001231444,"Town Centre, West Wing,  Off HAL Airport Road, Yamlur",560037,www.maxfashion.in,,India,Karnataka,Bengaluru
Lenskart,Lenskart,"Men & woman eye glasses, contact lenses, home eye test",preetig@valyoo.in,,1800111111,"Greater W-123, Graeter Kailash ",110048,www.lenskart.com,,India,Delhi,Delhi
Zivame,Zivame,Womans clothing & lingerie,feedback@zivame.com,8214232000,,"Court House, Lokmanya Tilak Margz, Dhobi Talao",400002,www.zivame.com,,India,Maharashtra,Mumbai
FabAlley,FabAlley,Womans fashion,customercare@faballey.com,8929987349,1206850262,"C-11, Sector 7, Noida",201301,www.faballey.com,,India,Uttar Pradesh,Noida
Mamaearth,Mamaearth,"Baby care products, beauty products, hair care products, face & body products",info@mamaearth.in,8303066123,9899382328,"2904, sector 46, Gurgaon",122002,www.mamaearth.in,,India,Haryana,Gurgaon
M & S ,M & S ,"Men & woman fashion, footwear, kids fashion & footwear, home décor, kitchen & dining, beauty care products",,,1244574600,"Infinity tower C, cyber city, DLF phase 2",122002,www.marksandspencer.in,,India,Haryana,Gurgaon
Urbanic,Urbanic,"Womans fashion, accessories, jewellery, bags",support@urbanic.com,8877330099,,"Platina Tower, Mehrauli-Gurgaon Rd, A Block, DLF Phase 1",122022,www.urbanic.com,,India,Haryana,Gurgaon
Tata Cliq,Tata Cliq,"Men & womans fashion, footwear, bags, wallet & clutches, jewellery, kids fashion, home & kitchen, beauty products, accessories",hello@tatacliq.com / ello@tatacliq.com,9029108282,,"Empire Plaza 2, LBS Marg, Vikhroli West",400083,www.tatacliq.com,,India,Maharashtra,Mumbai
Westside,Westside,"Men & womans fashion, kids fashion, footwear, bags, home appliances, beauty products",westside@trent-tata.com,7506401234,18002099901,"Trent House, G Block, Plot No C - 60, Beside Citibank, Bandra Kurla Complex, Bandra (East)",400051,www.westside.com,,India,Maharashtra,Mumbai
Pantaloons,Pantaloons,"Men & woman fashion, footwear, bags, beauty products, sunglasses, home décor, bath products",customercare@abfrl.adityabirla.com,8652905000,18001037527,"4th Floor, Agastya Corporate Park, Near Phoenix Marketcity Mall, Kurla West",400070,www.pantaloons.com,,India,Maharashtra,Mumbai
AliExpress,AliExpress,"Men & woman fashion, electronic gadgets, jewellery & watches, home, pet appliances, footwear, bags, beauty & hair products, tools & improvement appliances ",tradesecurity@aliexpress.com,9820332011,18666106338,"2nd Floor, Inspire BKC Plot No.10, Bharat Nagar, G Block, Bandra Kurla Complex",400051,www.aliexpress.com,,India,Maharashtra,Mumbai
Naaptol,Naaptol,"Men & woman fashion, footwear & bags, electronics, car & bike accessories, pooja requirments, sports & fitness, kids & toys, beauty & wellness products, home décor, kitchen appliances",support@naaptol.com / legal@naaptol.com,9223516148,9223537000,"Shop# 11, Conopus, Kabra Galaxy Star-I CHS, Brahmand, Azad Nagar Thane",400607,www.naaptol.com,,India,Maharashtra,Mumbai
Shein,Shein,"Men & woman fashion, kids fashion, home & living, beauty & health, electronics, home appliances, footwear & bags, accessories & jewellery",blogservice@shein.com,7045033574,,"SOC 829, Top floor Nac Manimajra",160101,https://us.shein.com/,,India,Punjab,Chandigarh
Heer Fashion,Heer Fashion,Woman sarees & jewellery,support@heerfashion.com,9328933249,,"Shop no 16, Rudra business park, Mahadevnagar Terka road, Vastral",382418,www.heerfashion.com,,India,Gujarat,Ahmedabad
