Company Name,Profile Heading,About Company,Email,Phone,Toll Free Number,Main Address,Address Pin Code,Address URL,Company Registration Number
Croma,Croma,"Smart phones, mobile accessories, mobile cases, wire & wireless ear phones, usb cables, mobile chargers, screen protectors, power banks, tripods, selfie sticks, mobile stands & holders",customersupport@croma.com,,,"Infiniti Retail, Unit No. 701, 702 7th Floor, Kaledonia, Sahar Road, Andheri East, Mumbai",400069,https://www.croma.com/phones-wearables/mobile-phones/c/10,
Datawind,Datawind,Smart phones,,0183-6668500,," Phoola Singh Burj, Amritsar, Punjab",143001,https://www.gadgets360.com/mobiles/datawind-price-list,
Cherry,Cherry,"Smart phones, mobile sccessories, adapters & charges",support@cherrymobile.com.ph,0996 977-7770 ,,"ishwashanti Apts ,Opp Nana Nani Park , Seven Bungalows , Andheri (West) Mumbai ",400061,https://www.cherrymobile.com/,
Coolpad,Coolpad,Smart phones,,,,"Plot No. 109, Tejas Apart, Sector–44, Nerul Seawood, New Mumbai",400706,https://www.coolpadindia.com/,
Airtel,Airtel,Mobile phones,,,,"Bharti Crescent 1 Nelson Mandela Road, Vasant Kunj, Phase II, New Delhi ",110070,https://www.airtel.in/,
Black Shark,Black Shark,"Smart phones, bluetooth earphones, fun case, gamepad stand, gaming triggers, gaming case, slide out protective case, ",global.pr@blackshark.com,,,"S 23, Baghambari Housing Scheme Allapur near Patel Chauraha Allahabad, U.P.",211001,https://blackshark.gg/,
Celkon,Celkon,"Smart phones, adapters & chargers, phone cases",,9052345678,,"
House No: 1-65/242 Ground Floor. Kavuri Hills Phase -2, Guttala Begumpet, Madhapur, Hyderabad ",500033,https://www.celkonmobiles.com/,
HP,HP,"Smart phones, laptops, desktops, monitors, printers, wireless mouse, wired & wirelesskeyboard, adapters & chargers, screen guard, scanners, speakers & audio, webcam, bags & cases  ",,,18004194962,"EC2 Campus, HP Avenue, Electronic City Phase II, Hosur Road Bangalore",560100,https://www.hp.com/,
Gionee,Gionee,"Smart phones, adapters & chargers, phone cases, smart watch, wireless ear phones, power bank, wired earphones, headphones",gcare@gionee.co.in,,18602583138,"D 170, Okhla Industrial Area, Phase -1
New Delhi",110020,https://gionee.co.in/,
Honor,Honor,"Smart phones, laptops, tablets, smart watch, router, band, scale, magic book, honor pad, wireless earbuds, wireless earphone, flipcover, smart bluetooth keyboard",,,,New Delh,,https://www.hihonor.com/in/,
iBall,iBall,"Wired & wireless headphones, bluetooth speaker, wireless router, wireless earbuds, wireless mouse, keyboard, power bank, ",customer.care@iball.co.in,9167455100,1800-266-6409,"Donear House, 4th Floor, Plot No. A-50, Road No. 1, MIDC, Andheri East, Mumbai ",400093,https://www.iball.co.in/,
Infinix,Infinix,"Smart phones, wireless earbuds, bluetooth speaker, adapter & charger, laptops, tvs",,,,"N 3, Prathamesh, Co - operative hsg soc Veer Savarkar, Marg Prabhadevi, Mumbai ",400025,https://www.infinixmobility.com/,
Intex,Intex,"Led smart tv, speakers, bluetooth speakers, tower speakers, trolley speakers, smart watch, wireless & wired headphones, earphones, neckbands, power banks, mobile charger, adapter, cable, wireless earbuds, car charger, LED monitor, hard drive, cabinet, keyboard, wired & wireless mouse, UPs, webcam, washing machine, air cooler",info@intex.in,9953030145,1204895555,"A 61, Okhla Industrial Area, Phase II, New Delhi ",110020,https://www.intex.in/,
Itel,Itel,"Smart phones, tablet, smart tvs, wireless & wired earphones, bluetooth speakers, wireless neckband, smart watch, headphones, powerbanks, ",info.in@transsion.com,1206650888,18004190525,"Unit No. B 303, Third Floor, Tower B, Advant IT Park, Plot No. 7, Sector – 142, Noida, Uttar Pradesh",201301,https://www.itel-india.com/,
Jio,Jio,"Mobile phones, jio dive, wifi, smart watch, laptops, ",,2244770000,,"5th Floor, Maker Chambers IV, 222, Nariman Point, Mumbai",400021,https://www.jio.com/shop/buy-jio-phone,
Karbonn,Karbonn,"Smart phones, smart LED tvs, powerbank, battery, charger & adapters",support@jainaindia.com,,,"D-170, Okhla Industrial Area, Phase-1 New Delhi",110020,https://karbonn.in/,
Lava,Lava,"Smart phones, tablets, earbuds, smart bands, neckband, battery, wired & wireless headphones, charger & adapter",social@lavainternational.in,1204637100,18605005001,"A 56, Sector 64, Noida",201301,https://www.lavamobiles.com/products,
Micromax,Micromax,"Smart phones, wireless & wired earphones, bluetooth speaker, earbuds, LED tv, charger & adapter",servicehead@micromaxinfo.com,1294883999,,"697, Udyog Vihar , Phase V, Gurugram, Haryana",122016,https://micromaxinfo.com/,
Microsoft,Microsoft,"Smart phones, adapter & chargers, laptop, desktop, ",,,,"807, New Delhi House, Barakhamba Road, New Delhi", 110001,https://www.microsoft.com/en-in,
Panasonic,Panasonic,"Smart phones, smart tvs, air conditioner, refrigerators, washing machines, vacuum cleanser, male & female grooming, ",helpline@in.panasonic.com,9311211333,18004190373,"12th Floor, Ambience Tower, Ambience Island, NH-8, Gurgaon",122002,https://www.panasonic.com/in/support/mobile-phones.html,
Philips,Philips,"Mobile phones, tv, monitor, projectors, media players, home audio, soundbars, headphones, wireless speakers, tablets, food makers, tablewear, mother & child care solutions, vacuum cleaners & mops, ironing, garment steamers, air purifier, tower fan, sleep apnea therapy, hearing solutions, car lights, LED lights, motocycle lights, car accessories, car air quality, household products, electric toothbrush, air fryer, trimmer, hair straightner, hair dryer",,,,"8th Floor, DLF 9-B, , DLF Cyber City, Sector 25",122002,https://www.philips.co.in/,
Poco,Poco,"Mobile phones, smart watch, wireless earbuds, watch strap, adapter & chargers",service.in@poco.net,,18005727626,"Block E, Embassy Tech Village Marathahalli Outer Ring Road, Devarabisanahalli, Bengaluru",560103,https://www.po.co/global/,
Reliance Digital,Reliance Digital,"Mobile phones, tablets, mobile accessories, car mobile holders, memory cards, cables & cords, chargers & adapters, tablet accessories, smart tvs, tv accessories, projectors, headphones & headsets, speakers and soundbars, musical instruments, air conditioners, air coolers, air purifers, washing machine, refrigerators, vacuum cleansers, dishwashes, fans, cloth dryers, geysers, room heaters, laptops, bluetooth & wifi speakers, keyboard, mouse, DSLR cameras, camera lens, tripods & monopods, kitchen appliances, shavers & trimmers, weighing sclaes, irons, hair dryers & stylers, batteries, smart devices",,,,"5th Floor, Court House, Lokmanya Tilak Marg, Dhobi Talao, Mumbai",400002,https://www.reliancedigital.in/,
Tecno,Tecno,"Smart phones, laptops, megabook, adapter & charger, wireless earbud, smart watch, router, camera, usb charger, wire headphone, headphone, bluetooth speaker",service@carlcare.com,,,"B 302, 3rd Floor, Tower B Advant IT Park, Plot No. 7, Sector 142, Gautam Buddh Nagar, Noida, U.P.",201305,https://www.tecno-mobile.com/home/,
TCL,TCL,"Tvs, theater soundbox", obgdirect.in@tcl.com,,18001020622,"S2, No. 1, Govindasamy Street, Palavanthangal, Chennai, Tamil nadu,",600114,https://www.tcl.com/in/store,
Vaio,Vaio,"Mobile phones, adapter & charger, laptops",supportin@in.vaio.com,,1166006600,"A 31, Mohan co - operative, Industrial estate, Mathura road, New Delhi",110044,https://in.vaio.com/,
Videocon,Videocon,"Smart phone, adapter & charger, air conditioner, refrigerator, tvs, washing machines, tablets",,2266113500,,"Fort House, 2nd Floor, 221, Dr. DN Road, Fort, Mumbai",400001,https://videoconworld.com/product/,
Vodafone,Vodafone,"Mobile phones, wifi, tvs, adapter & charger, mobile cases, screen guard",vodafonecare.mum@vodafone.com,9619215000,1800 1234567.,"Peninsula Corporate Park, 
Ganpatrao Kadam Marg
Lower Parel, Mumbai",400013,https://www.vodafone.com/,
